animal_id,animal_name,animal_category,url
55,heron,Bird,file:///C:/Users/lenovo/Documents/winter_internship/wildanimals/heron.webp
56,woodcock,Bird,C:\Users\lenovo\Documents\winter_internship\wildanimals\woodcock.png
57,swan,Bird,C:\Users\lenovo\Documents\winter_internship\wildanimals\swan.png
58,macaw,Bird,C:\Users\lenovo\Documents\winter_internship\wildanimals\macaw.jpg
59,crane,Bird,C:\Users\lenovo\Documents\winter_internship\wildanimals\crane.avif
60,seagull,Bird,C:\Users\lenovo\Documents\winter_internship\wildanimals\seagull.jpg
61,lion,Wild Animmal,https://img.freepik.com/free-psd/3d-rendering-lion-isolated_23-2151673509.jpg?semt=ais_hybrid
62,tiger,Wild Animmal,https://www.aiscribbles.com/img/variant/large-preview/72517/?v=66aa08
63,elephant,Wild Animmal,https://www.shutterstock.com/shutterstock/photos/2162378867/display_1500/stock-vector-cartoon-cute-baby-elephant-sitting-2162378867.jpg
64,giraffe,Wild Animmal,https://t4.ftcdn.net/jpg/02/82/56/21/360_F_282562173_IBawrjFoWRFCv6jpUmvUUpNK7XfZ75BG.jpg
65,zebra,Wild Animmal,https://www.shutterstock.com/image-vector/cartoon-zebra-lively-character-known-260nw-2467359401.jpg
66,wolf,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\wolf.png
67,leopard,Wild Animal,file:///C:/Users/lenovo/Documents/winter_internship/wildanimals/leopard.webp
68,cheetah,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\cheetah.png
69,bear,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\bear.jpeg
70,kangaroo,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\kangaroo.png
71,rhino,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\rhino.avif
72,fox,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\fox.jpeg
73,deer,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\deer.png
74,raccoon,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\raccoon.png
75,Gorilla,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\gorilla.avif
76,jackal,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\jackal.png
77,hyena,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\hyena.avif
78,moose,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\moose.png
79,sloth,Wild Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\sloth.avif
80,wildboar,Wild Animal,file:///C:/Users/lenovo/Documents/winter_internship/wildanimals/wildboar.webp
81,leopard,Jungle Animal,https://img.freepik.com/premium-vector/cartoon-leopard-walking_43633-3051.jpg?semt=ais_hybrid
82,monkey,Jungle Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\monkey.avif
83,anaconda,Jungle Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\anaconda.avif
84,chimpanzee,Jungle Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\chimpanzee.avif
85,macaque,Jungle Animal,C:\Users\lenovo\Documents\winter_internship\wildanimals\macaque.avif
